,index,rm_scl,rm_comp,order,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,raw_mean,best_sem,seed,best_pred
0,0,True,True,True,13.711328729987144,36.80671337991953,10.0,0.6022298716008663,0.9821587209589779,0.572127955313772,0.15390693210065365,0.8145089335739613,0.031584134325385094,0.647,0.00033394486179768885,10,0.6906501835744423
1,1,True,True,True,50.0,10.0,10.0,1.0,0.9999999999999915,0.10000000000000454,0.5813494561622891,0.20709113248091351,0.21155941135679746,0.746,,11,0.746
2,2,True,True,True,10.0,50.0,10.0,1.0,1.0,0.9999999999999876,0.1019208869842113,0.3214882594879218,0.5765908535278669,0.633,0.00025778128893588407,12,0.7436360413443028
3,3,True,True,True,49.99999999995577,11.937856176194321,10.0,0.10000000000282944,0.999999999999839,0.6615025804458751,0.5817366168435222,0.4182633831552971,1.180722186688854e-12,0.748,9.5307302047093e-05,13,0.7485045046671341
4,4,True,True,True,50.0,10.000000000001574,10.0,1.0,1.0,0.1,0.5127417276097287,0.07239510539733585,0.41486316699293546,0.751,0.00025076431708863925,14,0.7481820963909561
5,5,True,True,False,10.00000000000002,49.99999999999993,10.0,0.5722837799460218,0.6066143861101443,0.10000000000000017,0.2797051344238524,0.7202948655761459,1.7763568394002505e-15,0.776,0.00044909095057219965,10,0.7529946714063306
6,6,True,True,False,50.0,10.0,10.0,1.0,1.0,0.1,0.7183400721637437,0.10874075129371975,0.17291917654253652,0.652,0.00041640497963191405,11,0.722807577875387
7,7,True,True,False,30.840169965980046,10.000000001398085,10.0,0.9999999996403034,0.999999999951998,0.10000000001961247,0.5909944795685018,0.14944026683478143,0.2595652535967168,0.716,0.0001408473944526721,12,0.7437713958412003
8,8,True,True,False,50.0,10.0,10.0,1.0,1.0,1.0,0.6232774371732248,0.36220343551457673,0.01451912731219851,0.725,0.000590837562293558,13,0.7339540718640064
9,9,True,True,False,38.51748812682584,10.0,10.0,1.0,1.0,0.10000000000000002,0.3670701075405949,0.18253040052380515,0.4503994919356,0.521,0.0004750283511333126,14,0.741758604265252
10,10,True,False,True,49.999999999999915,10.000000000000098,10.0,0.10000000000000706,0.9999999999999956,0.10000000000000084,0.9999999999999986,0.9999999999999941,0.9999999999999979,0.6980000000000001,0.0003901507229668731,10,0.7227157653335733
11,11,True,False,True,50.0,10.0,10.0,0.1,1.0,1.0,1.0,0.5706052614219719,0.0,0.64,0.0007533613789727402,11,0.7478396337077499
12,12,True,False,True,10.0,28.24071697803918,10.0,1.0,1.0,0.20933987307998653,1.0,1.0,0.5987699068815,0.633,0.002750814728382094,12,0.68268116995819
13,13,True,False,True,49.99999999256525,10.00000016591841,10.0,0.4335248703872292,0.999999998150361,0.9999999990509676,0.5503841222082833,0.2944041196289809,1.2679925550892106e-09,0.5700000000000001,0.0003754827238184423,13,0.7403290869229296
14,14,True,False,True,50.0,10.0,10.0,0.1,1.0,1.0,0.4718500876345019,0.29220308167768305,1.0,0.6940000000000001,0.0004176279992725209,14,0.7552121683365303
15,15,True,False,False,50.0,10.0,10.0,0.1,1.0,0.1,1.0,0.7740346582068894,0.2850013101795825,0.746,0.00023372476207308965,10,0.7539579918160851
16,16,True,False,False,50.0,10.0,10.0,0.1,0.6226663592895141,1.0,1.0,0.8048621763923131,1.0,0.662,0.0009567692509633264,11,0.7407851339541832
17,17,True,False,False,50.0,10.0,10.0,0.1,1.0,1.0,1.0,0.6782345505092017,1.0,0.747,0.00027500217258843404,12,0.7486188614481575
18,18,True,False,False,50.0,10.0,10.0,1.0,1.0,0.1,0.7455192428668027,0.2648686027069659,1.0,0.748,0.0004987812879477879,13,0.743631701108306
19,19,True,False,False,10.0,50.0,10.0,1.0,0.1,1.0,0.6050406275339204,1.0,0.0,0.655,0.00022385768679160473,14,0.7542664884548472
20,20,False,True,True,4.999999999999998,1.0000000000000018,4.999999999999999,0.8759970159632899,0.9999999999999994,0.9999999999999999,0.5222629234073163,0.4777370765926821,1.5543122344752192e-15,0.65,5.322809938389963e-05,10,0.736665598561486
21,21,False,True,True,5.0,1.0000000000000009,1.0,0.26322099656054776,0.9999999999999999,0.9999999999999999,0.5058183286994218,0.46802553883497605,0.02615613246560211,0.762,0.00018201059279289913,11,0.7597521132692416
22,22,False,True,True,4.420940389033737,1.0000000000015845,4.137804422987159,0.9305299541054775,0.9305299541055025,0.9305299541056731,0.7215765788170224,0.2466269867309326,0.03179643445204494,0.72,0.00011465759356052507,12,0.7195811342357513
23,23,False,True,True,4.999999999983009,1.0000000000149194,4.999999999994046,0.10000000000027773,0.9999999999986336,0.999999999999867,0.6395087283416551,0.3604912716562661,2.078781591308143e-12,0.74,4.017812541748894e-05,13,0.7612513691640309
24,24,False,True,True,4.999999999998706,1.0,5.0,0.6435974423064762,0.6435974423944758,1.0,0.7109855810253038,0.2890144188415432,1.331529331238812e-10,0.735,0.00014249870067779385,14,0.7411209393729027
25,25,False,True,False,1.0000000000000002,5.0,1.0,1.0,0.1,1.0,0.2357285869539186,0.3782552625292688,0.3860161505168126,0.764,,10,0.764
26,26,False,True,False,1.0,5.0,1.0,0.664193441762207,1.0,1.0,0.2598001257227148,0.7401998742772851,1.1102230246251565e-16,0.646,0.00025646657603404236,11,0.7309678400910115
27,27,False,True,False,1.0,5.0,5.0,0.8319466169525854,0.30853189849969986,0.9110517726057168,0.41474301167250777,0.585256988327492,2.220446049250313e-16,0.755,0.00012092173382291255,12,0.7551281923944944
28,28,False,True,False,5.0,1.0000000000000016,5.0,0.6766590751927547,1.0,0.6257949902787285,0.5968165603674368,0.4031834396326014,-3.8191672047105385e-14,0.754,,13,0.754
29,29,False,True,False,1.0000000014286208,4.9999999999872555,4.999999999993118,0.9999999919697723,0.9999999994954555,0.1000000017156585,0.1221878504783525,0.7047953778393913,0.17301677168225627,0.7010000000000001,0.00047002382433836886,14,0.7649964351860179
30,30,False,False,True,5.0,1.0,1.0,0.24478333641646222,1.0,1.0,0.958760927771784,1.0,0.0,0.74,0.0003443301250473056,10,0.7385532151136606
31,31,False,False,True,5.0,1.0,4.9999999999999964,0.7277416666920248,0.7277416666920554,1.0,1.0,0.5191016212127675,1.0,0.511,0.00017886030749172875,11,0.7623413173892656
32,32,False,False,True,4.829431677561624,1.0000000000000002,4.079497293793196,0.10000000000000003,0.8659038817006005,1.0,0.9999999999999999,0.9999999999999999,0.563529519671341,0.738,8.669257284938635e-05,12,0.7539276908179995
33,33,False,False,True,1.0000000000000004,5.0,5.0,0.9999999999999999,0.9999999999999999,1.0,0.4951167519656861,0.9999999999999998,0.9999999999999998,0.6980000000000001,0.004266132335827597,13,0.6976213789447407
34,34,False,False,True,5.0,1.0,3.108590981880942,0.45540630129715753,1.0,1.0,0.5276638954797488,1.0,0.8510992158297183,0.638,0.00029511956202274236,14,0.6927545915742118
35,35,False,False,False,1.0,5.0,1.0,1.0,1.0,1.0,0.41809427481632166,0.34234456667462015,1.0,0.65,0.0002651442650405071,10,0.7629423594031971
36,36,False,False,False,1.0,3.0255898313732965,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.66,0.0005536347079826969,11,0.7211130974355894
37,37,False,False,False,5.0,1.0,5.0,1.0,1.0,1.0,0.8422216129886776,0.3003375367315045,0.0,0.797,,12,0.797
38,38,False,False,False,1.0,5.0,5.0,1.0,1.0,1.0,0.4691532260787902,1.0,0.0,0.753,0.0006965360569432671,13,0.7658587867348643
39,39,False,False,False,1.0,4.421989756454582,1.0,1.0,0.1,1.0,0.41563129325969667,1.0,0.0,0.666,0.00038799490163339166,14,0.7544455585260049
